,NDVI Range (Bin),Year 2021 – Pixel Count,Year 2022 – Pixel Count,Year 2023 – Pixel Count,Year 2024 – Pixel Count,Year 2025 – Pixel Count
0,-1.00 → -0.90,0,0,0,0,0
1,-0.90 → -0.80,0,0,0,0,0
2,-0.80 → -0.70,0,0,0,0,0
3,-0.70 → -0.60,0,0,0,0,0
4,-0.60 → -0.50,0,0,0,0,0
5,-0.50 → -0.40,0,0,0,0,0
6,-0.40 → -0.30,0,0,0,0,0
7,-0.30 → -0.20,0,0,0,0,0
8,-0.20 → -0.10,10,8,7,5,12
9,-0.10 → 0.00,1855,2217,4604,2510,4163
10,0.00 → 0.10,338864,341696,313545,352122,328860
11,0.10 → 0.20,450017,426882,383639,503593,430047
12,0.20 → 0.30,359177,318656,282876,358016,290174
13,0.30 → 0.40,328589,278506,256781,272149,246805
14,0.40 → 0.50,216184,220546,235985,186389,223842
15,0.50 → 0.60,102686,154716,196545,109902,189036
16,0.60 → 0.70,34953,74299,119735,43319,102269
17,0.70 → 0.80,5229,19772,40757,9509,21714
18,0.80 → 0.90,4,272,3095,56,646
19,0.90 → 1.00,0,0,0,0,0
